point_id,capture_mode,timestamp_fp_ms,timestamp_unity_ms,timestamp_diff_ms,raw_fp_x,raw_fp_y,raw_fp_z,raw_fp_qx,raw_fp_qy,raw_fp_qz,raw_fp_qw,raw_unity_x,raw_unity_y,raw_unity_z,raw_unity_qx,raw_unity_qy,raw_unity_qz,raw_unity_qw,used_fp_x,used_fp_y,used_fp_z,used_fp_qx,used_fp_qy,used_fp_qz,used_fp_qw,used_unity_x,used_unity_y,used_unity_z,used_unity_qx,used_unity_qy,used_unity_qz,used_unity_qw
3,continuous_interpolated,1755630000000.0,1755630000000.0,42,0.034646197,0.0278557913047416,0.5347023119365274,-0.401944948,-0.211193082,-0.449827896,0.7690855636687558,-0.502320766,0.6366679,0.359162,0.222645879,-0.03502661,-0.009016931,0.974228263,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
4,continuous_interpolated,1755630000000.0,1755630000000.0,69,0.034646197,0.0278557913047416,0.5347023119365274,-0.401944948,-0.211193082,-0.449827896,0.7690855636687558,-0.5022851,0.6366466,0.359198838,0.222512409,-0.03483534,-0.009655096,0.9742595,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
5,continuous_interpolated,1755630000000.0,1755630000000.0,45,0.034750837,0.0277903836423562,0.5343571269751186,-0.406631775,-0.213188698,-0.454626067,0.7632275658915536,-0.502266467,0.636633456,0.359166384,0.222287714,-0.03499177,-0.009089477,0.974310637,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
6,continuous_interpolated,1755630000000.0,1755630000000.0,66,0.034750837,0.0277903836423562,0.5343571269751186,-0.406631775,-0.213188698,-0.454626067,0.7632275658915536,-0.502483845,0.6364397,0.359344929,0.222435549,-0.034573227,-0.008445241,0.974297643,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
7,continuous_interpolated,1755630000000.0,1755630000000.0,15,0.0348767165651089,0.027726827,0.5344631993135198,-0.402033528,-0.21353381,-0.453568546,0.7661905300121886,-0.502271235,0.636397243,0.3594123,0.222643048,-0.034035686,-0.008105815,0.9742721,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
8,continuous_interpolated,1755630000000.0,1755630000000.0,69,0.0348767165651089,0.027726827,0.5344631993135198,-0.402033528,-0.21353381,-0.453568546,0.7661905300121886,-0.5021703,0.6364153,0.359381616,0.223088488,-0.033993453,-0.007582046,0.9741758,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
9,continuous_interpolated,1755630000000.0,1755630000000.0,64,0.0347500822521409,0.0276211753819107,0.5346917039822933,-0.402066007,-0.21262393,-0.45574028,0.7651371037696548,-0.5021047,0.63642323,0.359419078,0.223185733,-0.033612013,-0.007625081,0.974166453,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
10,continuous_interpolated,1755630000000.0,1755630000000.0,8,0.0347500822521409,0.0276211753819107,0.5346917039822933,-0.402066007,-0.21262393,-0.45574028,0.7651371037696548,-0.5019992,0.636515558,0.359353751,0.223294765,-0.033822477,-0.00688573,0.9741397,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
11,continuous_interpolated,1755630000000.0,1755630000000.0,75,0.0347500822521409,0.0276211753819107,0.5346917039822933,-0.402066007,-0.21262393,-0.45574028,0.7651371037696548,-0.5020611,0.63649565,0.359421819,0.223421633,-0.03360778,-0.006757297,0.974118948,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
12,continuous_interpolated,1755630000000.0,1755630000000.0,5,0.034813212,0.0276162272293666,0.5345093067220337,-0.401644382,-0.214940585,-0.455682403,0.7647456326939702,-0.5022127,0.636447966,0.359440356,0.22277081,-0.03376031,-0.00735689,0.974258363,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
13,continuous_interpolated,1755630000000.0,1755630000000.0,51,0.034813212,0.0276162272293666,0.5345093067220337,-0.401644382,-0.214940585,-0.455682403,0.7647456326939702,-0.502384245,0.636443,0.3595086,0.2227881,-0.033845633,-0.0077473,0.9742484,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
14,continuous_interpolated,1755630000000.0,1755630000000.0,62,0.03491432,0.0278283672138126,0.5344484285352775,-0.396392287,-0.211180488,-0.456372439,0.7681146744045932,-0.5024055,0.636533558,0.359260142,0.222700909,-0.034189344,-0.007732563,0.974256456,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
15,continuous_interpolated,1755630000000.0,1755630000000.0,7,0.03491432,0.0278283672138126,0.5344484285352775,-0.396392287,-0.211180488,-0.456372439,0.7681146744045932,-0.50243336,0.6364395,0.359101057,0.222799987,-0.034393996,-0.007862791,0.9742256,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
16,continuous_interpolated,1755630000000.0,1755630000000.0,49,0.03491432,0.0278283672138126,0.5344484285352775,-0.396392287,-0.211180488,-0.456372439,0.7681146744045932,-0.5023637,0.6364989,0.358976156,0.222807646,-0.03437701,-0.007686622,0.9742259,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
17,continuous_interpolated,1755630000000.0,1755630000000.0,104,0.03491432,0.0278283672138126,0.5344484285352775,-0.396392287,-0.211180488,-0.456372439,0.7681146744045932,-0.50245744,0.636482,0.358938,0.2228281,-0.03471726,-0.007763349,0.974208534,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
18,continuous_interpolated,1755630000000.0,1755630000000.0,31,0.034873608,0.0276129119003354,0.5343634324372087,-0.398974855,-0.21256818,-0.458795029,0.7649450672204514,-0.50248754,0.6364876,0.358758032,0.2223642,-0.0345082,-0.008325338,0.974317253,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
19,continuous_interpolated,1755630000000.0,1755630000000.0,24,0.034873608,0.0276129119003354,0.5343634324372087,-0.398974855,-0.21256818,-0.458795029,0.7649450672204514,-0.5027559,0.6363844,0.358761251,0.222931743,-0.034818858,-0.007089533,0.9741863,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
20,continuous_interpolated,1755630000000.0,1755630000000.0,80,0.034873608,0.0276129119003354,0.5343634324372087,-0.398974855,-0.21256818,-0.458795029,0.7649450672204514,-0.502399564,0.6366269,0.358472258,0.2230218,-0.034891784,-0.007205211,0.9741622,-0.069877952,-0.479510397,0.065893412,0.4490765929222107,-0.443163723,0.769165039,0.1015936806797981,-0.554862738,0.6713622212409973,0.4006509184837341,0.1608826965093612,-0.1354772,0.041822433,0.9767362475395204
21,continuous_interpolated,1755630000000.0,1755630000000.0,29,0.034755488,0.0277119414683245,0.5340227774899372,-0.404372384,-0.213426173,-0.456590679,0.7631888336383239,-0.502511859,0.6366649,0.358596265,0.224948838,-0.033620987,-0.004753277,0.9737788,-0.034755487,-0.534022748,0.0277119409292936,0.4565906822681427,-0.404372394,0.7631888389587402,0.2134261727333068,-0.502068579,0.6364444494247437,0.3593721091747284,0.223050445318222,-0.033768862,-0.007946804,0.9741894602775574
22,continuous_interpolated,1755630000000.0,1755630000000.0,54,0.034755488,0.0277119414683245,0.5340227774899372,-0.404372384,-0.213426173,-0.456590679,0.7631888336383239,-0.5026172,0.636746347,0.358627677,0.225002781,-0.0336414,-0.003590517,0.9737706,-0.034755487,-0.534022748,0.0277119409292936,0.4565906822681427,-0.404372394,0.7631888389587402,0.2134261727333068,-0.502068579,0.6364444494247437,0.3593721091747284,0.223050445318222,-0.033768862,-0.007946804,0.9741894602775574
23,continuous_interpolated,1755630000000.0,1755630000000.0,51,0.035040848,0.0276777542150428,0.53473805,-0.39739752,-0.212149653,-0.454413824,0.7684893055472283,-0.502144933,0.637001455,0.358501136,0.225147739,-0.033647005,-0.004132614,0.973734736,-0.035040848,-0.534738064,0.0276777539402246,0.4544138312339782,-0.397397518,0.7684893012046814,0.2121496498584747,-0.502088666,0.6364562511444092,0.3593849539756775,0.22292160987854,-0.033713907,-0.007095836,0.9742273688316344
24,continuous_interpolated,1755630000000.0,1755630000000.0,5,0.035040848,0.0276777542150428,0.53473805,-0.39739752,-0.212149653,-0.454413824,0.7684893055472283,-0.5018775,0.6369847,0.358585656,0.225251228,-0.03325367,-0.00623621,0.9737131,-0.035040848,-0.534738064,0.0276777539402246,0.4544138312339782,-0.397397518,0.7684893012046814,0.2121496498584747,-0.502088666,0.6364562511444092,0.3593849539756775,0.22292160987854,-0.033713907,-0.007095836,0.9742273688316344
25,continuous_interpolated,1755630000000.0,1755630000000.0,88,0.035040848,0.0276777542150428,0.53473805,-0.39739752,-0.212149653,-0.454413824,0.7684893055472283,-0.501883566,0.6371212,0.3584088,0.223850146,-0.03442648,-0.007780254,0.9739843,-0.035040848,-0.534738064,0.0276777539402246,0.4544138312339782,-0.397397518,0.7684893012046814,0.2121496498584747,-0.502088666,0.6364562511444092,0.3593849539756775,0.22292160987854,-0.033713907,-0.007095836,0.9742273688316344
26,continuous_interpolated,1755630000000.0,1755630000000.0,0,0.034984117,0.028004185,0.5349441513201898,-0.395858883,-0.211464137,-0.457049479,0.7679091336712159,-0.5012916,0.63729316,0.358186066,0.2224432,-0.034505636,-0.011150353,0.974271059,-0.034984116,-0.534944177,0.0280041843652725,0.4570494890213012,-0.395858884,0.7679091095924377,0.2114641368389129,-0.502382815,0.6364887356758118,0.3589453995227813,0.2229414880275726,-0.034611285,-0.007633239,0.9741872549057008
27,continuous_interpolated,1755630000000.0,1755630000000.0,27,0.034984117,0.028004185,0.5349441513201898,-0.395858883,-0.211464137,-0.457049479,0.7679091336712159,-0.5014886,0.6373677,0.3581693,0.221809343,-0.03511086,-0.010570332,0.9744004,-0.034984116,-0.534944177,0.0280041843652725,0.4570494890213012,-0.395858884,0.7679091095924377,0.2114641368389129,-0.502382815,0.6364887356758118,0.3589453995227813,0.2229414880275726,-0.034611285,-0.007633239,0.9741872549057008
28,continuous_interpolated,1755630000000.0,1755630000000.0,58,0.035427097,0.0280099687315022,0.5341022657347867,-0.389540838,-0.213802648,-0.464004288,0.766320027,-0.50094986,0.6372759,0.358284533,0.224063963,-0.036043495,-0.012437612,0.9738283,-0.035427097,-0.534102261,0.0280099678784608,0.4640042781829834,-0.389540851,0.7663200497627258,0.2138026505708694,-0.502511859,0.6366649270057678,0.3585962653160095,0.224948838353157,-0.033620987,-0.004753277,0.9737787842750548
29,continuous_interpolated,1755630000000.0,1755630000000.0,53,0.035427097,0.0280099687315022,0.5341022657347867,-0.389540838,-0.213802648,-0.464004288,0.766320027,-0.4990431,0.6361589,0.35994637,0.23415713,-0.032380432,-0.028747663,0.9712341,-0.035427097,-0.534102261,0.0280099678784608,0.4640042781829834,-0.389540851,0.7663200497627258,0.2138026505708694,-0.502511859,0.6366649270057678,0.3585962653160095,0.224948838353157,-0.033620987,-0.004753277,0.9737787842750548
30,continuous_interpolated,1755630000000.0,1755630000000.0,81,0.035427097,0.0280099687315022,0.5341022657347867,-0.389540838,-0.213802648,-0.464004288,0.766320027,-0.4994703,0.6356474,0.36045596,0.238531739,-0.03178498,-0.02836845,0.9701998,-0.035427097,-0.534102261,0.0280099678784608,0.4640042781829834,-0.389540851,0.7663200497627258,0.2138026505708694,-0.502511859,0.6366649270057678,0.3585962653160095,0.224948838353157,-0.033620987,-0.004753277,0.9737787842750548
31,continuous_interpolated,1755630000000.0,1755630000000.0,7,0.034782688,0.0277486170155204,0.5345686830443371,-0.397729961,-0.210058648,-0.453776274,0.7692680518933934,-0.499819756,0.63530767,0.361043751,0.241333246,-0.035526842,-0.027882613,0.9693909,-0.034782689,-0.534568667,0.027748616,0.4537762701511383,-0.397729963,0.7692680358886719,0.210058644413948,-0.502144933,0.6370014548301697,0.358501136,0.2251477390527725,-0.033647005,-0.004132614,0.973734736442566
32,continuous_interpolated,1755630000000.0,1755630000000.0,104,0.034782688,0.0277486170155204,0.5345686830443371,-0.397729961,-0.210058648,-0.453776274,0.7692680518933934,-0.500108242,0.635017753,0.361849368,0.246925592,-0.03463486,-0.026781194,0.968044937,-0.034782689,-0.534568667,0.027748616,0.4537762701511383,-0.397729963,0.7692680358886719,0.210058644413948,-0.502144933,0.6370014548301697,0.358501136,0.2251477390527725,-0.033647005,-0.004132614,0.973734736442566
33,continuous_interpolated,1755630000000.0,1755630000000.0,54,0.034608198,0.027853441,0.5347699812932427,-0.402715669,-0.212650687,-0.451076102,0.7675481261977171,-0.4999078,0.63537395,0.362174571,0.247274116,-0.03308559,-0.029992113,0.967916,-0.034608196,-0.534769952,0.02785344,0.4510760903358459,-0.402715683,0.767548144,0.2126506865024566,-0.501596272,0.6372586488723755,0.3582279682159424,0.2225283682346344,-0.034794092,-0.010316081,0.974250555038452
34,continuous_interpolated,1755630000000.0,1755630000000.0,57,0.034608198,0.027853441,0.5347699812932427,-0.402715669,-0.212650687,-0.451076102,0.7675481261977171,-0.5026911,0.637575,0.3641507,0.251996,-0.035785914,-0.019567579,0.9668684,-0.034608196,-0.534769952,0.02785344,0.4510760903358459,-0.402715683,0.767548144,0.2126506865024566,-0.501596272,0.6372586488723755,0.3582279682159424,0.2225283682346344,-0.034794092,-0.010316081,0.974250555038452
